speechid	speechpath	speaker_id	review_score	transcript	category	speaker_gender	speaker_age
OlJWhOt79b1xz2HCCr1c	audio/22fda055-61a5-470f-98c0-736699eb854b.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	സിംഹത്തിന്റെ പ്രേമം	story	Male	30-40
aqwtyK3EFfWaJBgSSUfX	audio/7abe16ab-28d2-4916-baff-7cdd60da5a14.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	6	നീ താജ്മഹൽ കണ്ടിട്ടുണ്ടോ?	conversation	Female	30-40
b10J1Fbkv1IS32fPFuvv	audio/5ebd63c0-ca47-4d01-ab45-5cf0eae474bc.wav	MYf90clR8ehYYBOp1NAncn85tuH3	6	വിളയുന്ന വിത്തു മുളയിലറിയാം.	proverb	default	default
bLN8ePxj31s9zLNNUESS	audio/e1b8edfb-642b-441a-9c6e-f9e0ea6a1c3e.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	6	അക്കരെനിന്നാൽ ഇക്കരെപ്പച്ച ഇക്കരെ നിന്നാൽ അക്കരെപ്പച്ച.	proverb	default	default
iRLAWFasyqcRUYSBg8W5	audio/2205509f-a168-443b-9458-7ba89acbe6ad.wav	KPppnsxEYoYUpLTsjFfNl8exkYv1	6	സിംഹത്തിന്റെ പ്രേമം	story	default	default
iSp21DklSJrXGfy80CJZ	audio/5642af22-3cb6-4950-8035-ec5e45d4bd56.wav	79b1JNu800bK0DTDNwzIwddgeFV2	6	ചക്കയ്ക്കൊക്കെ ഇപ്പോൾ നല്ല ഡിമാൻഡാണ്.	conversation	default	default
ijUjVFC5tQqZaCdWDf1D	audio/df34491c-8be7-4732-a3ab-92dfed0682e8.wav	vUdcLk4ROIR8CsaYAG6YsAmj15J3	6	കാര്യമായിട്ടൊന്നുമില്ല.	conversation	default	default
ikW5s1xnroDxKsWRJwM0	audio/b8cf0cbe-84b5-404a-b2b3-31bfda290109.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	ഇന്നെന്താണ് ഊണിന് കൂട്ടാൻ?	conversation	Male	30-40
iu8d1hrmBAAu5jJ6AE5V	audio/4e9469aa-8a21-4ef2-a76a-c836a33ebcdc.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	6	ആശുപത്രിയിൽ ഒന്ന് പോകണം.	conversation	Male	30-40
izmurFX8sA6b4dBi8BVx	audio/0101232e-4ec9-4cf1-8622-5b448cfaf95c.wav	4g8oHH1MgvOvECpoSKbWWrRpWT82	6	ഇപ്പോഴാണ് ശ്വാസം നേരെ വീണത്.	conversation	Male	20-30
xp5awM0xE8CrmqMMUOih	audio/c47ac65a-a873-4f83-b88d-38a00507dc7c.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	പാലം കുലുങ്ങിയാലും കേളൻ കുലുങ്ങില്ല.	proverb	Male	30-40
xx5PWFyRXsRgQT0tqeet	audio/93990c52-11a6-44cd-861c-1fd39b17f6f8.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	ആട്ടിന്‍ കുട്ടി പറഞ്ഞു	story	Male	30-40
xxf4ThP3sppNPUjglXoD	audio/ba7d461f-8fa8-4a29-aaf3-b20b6aa196cf.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	ആൽമരവും മുളകളും	story	Male	30-40
xxolV3P6eAZMFXIs7aiD	audio/1aa24936-e106-4736-84e3-7ab4f9cb1975.wav	b9br7qKM8QWW0h954mhTKmnDASI2	6	എലിയെ പേടിച്ച് ഇല്ലം ചുട്ടു.	proverb	Female	20-30
y2rRN9wq2JbVsDgcShry	audio/3b038681-27fb-4281-934f-804754679858.wav	b9br7qKM8QWW0h954mhTKmnDASI2	6	മീനത്തിൽ മഴ പെയ്താൽ മീനിനും ഇരയില്ല.	proverb	Female	20-30
yWwenou7PrYV22baGpBY	audio/adb79ad4-9f36-488e-a46c-73daf0bda9de.wav	7mITU5Ja1Tf9UtKHpmiCr1n9ZKj1	6	ഇന്ന് ഓഫിസിൽ പോയോ?	conversation	Male	30-40
yYxUfdqGPbeB1jBpdN2S	audio/3f9340e3-c167-4131-ab26-aa277cd62a4f.wav	LTokmTKpwaO6Bdb5fTtoSLYMc8e2	6	പഴുത്ത പ്ലാവില വീഴുമ്പോൾ പച്ച പ്ലാവില ചിരിക്കേണ്ട.	proverb	default	default
ycLGmDxooax7sxGe0QVM	audio/e82a8018-8515-4ea0-baa4-2c944ffd6653.wav	Li6cyWawv0TavTANle4yTmzCDty2	6	ഒരു സന്തോഷ വാർത്ത അറിയിക്കാനുണ്ട്.	conversation	Female	50-60
ygTDXm1XDqrG4x2RmetH	audio/e4026c56-2e81-46c1-8250-684a5253c333.wav	MYf90clR8ehYYBOp1NAncn85tuH3	6	പാലു മാത്രമാണ് എനിക്കു ഭക്ഷണവും പാനീയവും	story	default	default
ygyN58oyrAWsEu1AJSHg	audio/1d57c475-172f-43d6-b4b0-bf681d50d300.wav	L2VjTEBUwJVobWfHy9wPZo0C7EQ2	6	മണ്ണു വിറ്റു പൊന്നു വാങ്ങരുതു്‌.	proverb	default	default
ykRbTugoPCdvDhmKAELU	audio/3e11df94-264a-4a38-ac28-e368633daafa.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	എന്നിട്ട് അവന്‍ സിംഹത്തോടായി പറഞ്ഞു	story	Male	30-40
ynUsSTyD7yVezu5heLHz	audio/368f662b-cb85-4558-b5f2-70438748031e.wav	Y3uj7LGGFGcrklUpQDW50rwa0hL2	6	ഐകമത്യം മഹാബലം.	default	Male	20-30
ypbRKKYk0ZO1R7nXUa99	audio/41e964f0-893a-44ef-b1dc-99feb8e67738.wav	MYf90clR8ehYYBOp1NAncn85tuH3	6	എന്നിട്ട് അവന്‍ സിംഹത്തോടായി പറഞ്ഞു	story	default	default
yz7gTNApS1wl8p2MYcLm	audio/73ec0b33-14d4-46db-8517-ba654d33ed48.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	6	സ്വപ്നം കണ്ട് ഞെട്ടിയുണരുന്നു.	conversation	Male	30-40
yzhpPoEWZT6wSFZcKIOv	audio/658b6844-b91a-4c7c-8e66-a3b65ec0fa43.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	തീയിൽ കുരുത്തത് വെയിലത്തു വാടുമോ?	proverb	Male	30-40
z0Gxopdza1vS3hS8Kwul	audio/a8b10651-cba9-4522-a308-4dcd024293e7.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	6	അപേക്ഷ നിരസിച്ചുകൊണ്ട് കീരി പറഞ്ഞു	story	Male	30-40
z1JOBYIepOLCensnsQUQ	audio/7232f497-e849-4b12-b8e3-6b6b6025b582.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	ഒരു കോഴിയും കുറെ തസ്ക്കരന്മാരും	story	Male	30-40
z1YTejWe8U8kJfvhosn6	audio/c51d69c9-df74-4f6a-a248-53c183d50f8a.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	നടുക്കടലിലും നായ നക്കിയേ കുടിക്കൂ.	proverb	Male	30-40
z5gc5ksfaNM3aG8sUglb	audio/103f92e7-106f-44b3-9663-6c5144ed804c.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	എന്തോരു സന്തോഷമാണെന്ന് നോക്കിക്കേ.	conversation	Male	30-40
z6drZZzR5yN2EVjaXzok	audio/ed61e4a0-22e9-4ef7-8ac2-e73f051d5742.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	എന്നെങ്കിലും എന്നെ കൊണ്ട് അങ്ങേയ്ക്ക് പ്രയോജനം ഉണ്ടാവും	story	Male	30-40
zQomb1TVfwPswxWyFgzz	audio/f6d858a1-e872-44b4-b791-0cdd7ffeba7a.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	മുറിവാലന്‍ കുറുക്കൻ	story	Male	30-40
zUpK2bgBurTxXkNgrUSt	audio/a089254e-4495-4b56-a4d6-095936e8532a.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	അധികം താമസിയാതെ വിശന്നു ചാവുകയും ചെയ്തു	story	Male	30-40
zXuvF1OR0PNZZJinuViS	audio/7106ae8f-615a-48c5-bf42-cc9c827fca4e.wav	3jBdkUX9NmUhEU9cikIgOsfM1KN2	6	ഗരുഡൻ ആകാശത്തിൽ പറക്കും ഈച്ച അങ്കണത്തിൽ പറക്കും	proverb	default	default
ziajZcupMzSrI21JcJ52	audio/a7969f81-24bf-4be0-b491-9c0d9e131c21.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	6	ഏറെ അദ്ധ്വാനത്തിനു ശേഷം വലയുടെ കണ്ണികളെല്ലാം കടിച്ചുമുറിച്ചു സിംഹത്തെ മോചിപ്പിച്ചു	story	Male	30-40
zlFUJjp7FHgMp9BHp1wx	audio/327519bb-ec9e-406a-b778-a7986565a153.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	വീണ്ടും ജീവനു വേണ്ടി കേണപ്പോള്‍ ആ കീരി പറഞ്ഞു	story	Male	30-40
zmXFAnICt57lIgypQvuB	audio/35b0525a-79ef-470b-bfa4-75c129484d78.wav	WnrwjCDN1PgNuCK4IrstUpDLJB93	6	മുഖ്യമന്ത്രി രാജി വെയ്ക്കുക.	conversation	default	default
2Ewyq6pEjfhLRvSxcIyU	audio/3d1489ed-ab8f-4855-bd9b-c70b5901766a.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	5	ആന വാ പൊളിക്കുന്നത് കണ്ടിട്ട് അണ്ണാൻ വാ പൊളിച്ചാൽ കാര്യമില്ല.	proverb	default	default
3irPXLovvYkopbrC9zHj	audio/a2e3b0e4-1fed-4830-8656-cd1996d04296.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	ക്ഷീരമുള്ളോരകിടിൻ ചുവട്ടിലും ചോരതന്നെ കൊതുകിന്നു കൌതുകം.	proverb	Female	30-40
4sF1fDOpkyshvCuSgnvB	audio/764ff639-1151-4c85-b547-0ccc98e3e341.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	കാക്ക കുളിച്ചാൽ കൊക്കാകുമോ?	proverb	Male	30-40
5BktZY3AP0rCLiHZASdN	audio/09b34041-eb56-4a7f-993a-549477f3b947.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	തേടിയ വള്ളി കാലിൽ ചുറ്റി.	proverb	Male	30-40
5aFZEcllkCKTOHI2ov4x	audio/f6078e38-cdd0-4e41-9bd7-96131e2fb169.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	തേനൊഴിച്ചു വളർത്തിയാലും കാഞ്ഞിരം കയ്ക്കും.	proverb	Female	30-40
9RwHiEU9Nqog351RZrJj	audio/034dd10a-ba6f-4ba6-b2d4-68241a117645.wav	W25drYULyTQsP57oZsKYvaHHjxu1	5	നിങ്ങൾ ഏത് ട്രെയിനിലാണ് വന്നത്?	conversation	default	default
CuGCo34dno8R1TjR3Rr3	audio/e73ec089-4fd1-4de5-b45b-e343a105f552.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	ചോദ്യം തെറ്റാണെങ്കിൽ ക്ഷമിക്കുക.	conversation	Female	30-40
CwQVb50T8A064WsPzGip	audio/7a7469c6-e336-49d2-a76f-407b1b384009.wav	b9br7qKM8QWW0h954mhTKmnDASI2	5	ആന മെലിഞ്ഞാൽ തൊഴുത്തിൽ കെട്ടാമോ?	proverb	Female	20-30
DJuWL3BnMxANY0TEm8JF	audio/32315e96-4362-489c-97e9-a34a138b5581.wav	Ee6DPa8bo4Y8PQVBhuWOxcP0t9T2	5	കൂട്ടം തെറ്റി അലയുകയായിരുന്ന ആട്ടിന്‍ കുട്ടിയെ കണ്ട ചെന്നായ അതിനെ കൊന്നു തിന്നുവാന്‍ തീരുമാനിച്ചു	story	default	default
DKDRde2RzN2tkLm3n9QA	audio/73fe75fc-2515-4a8d-b300-05764ce99dbb.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	5	ഇല്ലംനിറ വല്ലം നിറ പെട്ടി നിറ പത്തായം നിറ.	proverb	Male	30-40
DMuFvxVF67Cl0BmxPdjr	audio/c9ffe8c0-d22e-461f-adc9-81c032540005.wav	MYf90clR8ehYYBOp1NAncn85tuH3	5	നിനക്ക് ഇന്റർനെറ്റ് കിട്ടുന്നുണ്ടോ?	conversation	default	default
DWo5OnQcxQPqHH8cLKtN	audio/3360711a-c25a-47bb-96a4-afbf1636c5f1.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	പുൽച്ചാടികളുടെ ചിലപ്പ് കേൾക്കാനിടയായ കഴുതയ്ക്ക് അവ മധുരസ്വരമായി അനുഭവപ്പെട്ടു	story	Female	30-40
Dag4kNMkBNoQrm5P5JmZ	audio/4b2bc730-f86e-4538-8b4a-1e674e4efae0.wav	MYf90clR8ehYYBOp1NAncn85tuH3	5	സ്വർണ്ണത്തിനൊക്കെ ഇപ്പൊ എന്താ വില?	conversation	default	default
DbOSMcYfftNU2iMsZ7Yd	audio/ea6f998c-d70b-41d8-9be0-489a2bcd2d7a.wav	MYf90clR8ehYYBOp1NAncn85tuH3	5	മുതലക്കുഞ്ഞിനെ നീന്തൽ പഠിപ്പിക്കേണ്ട.	proverb	default	default
Dd2VCXhtrlIrAk1MGLP5	audio/5d3d5d65-f5c5-4b20-89ed-295c47be8d8d.wav	2N3Ywed7TuTc5eIWD58BinJ8aUq2	5	ചക്കയ്ക്കൊക്കെ ഇപ്പോൾ നല്ല ഡിമാൻഡാണ്.	conversation	default	default
DhKy74TEgZo4SkVvz3Ej	audio/9f84fb51-e7e8-44cd-9deb-e20593624aa1.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	എന്നെങ്കിലും എന്നെ കൊണ്ട് അങ്ങേയ്ക്ക് പ്രയോജനം ഉണ്ടാവും	story	Female	30-40
Dhbj35H82PZ9uYjuk0Uf	audio/71e8b06f-8375-4d8b-81bb-de67f7470145.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	എന്ന് വവ്വാല്‍ പറഞ്ഞപ്പോള്‍ അത് ശരിയാണെന്നു തോന്നിയ കീരി അവനെ വെറുതെ വിട്ടു	story	Female	30-40
Dkki2y0FktdeiSTdVUXF	audio/df6b936d-08e8-4f0e-a0fc-c58a6c290ea5.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	എന്നാൽ പിന്നെ നമുക്ക് ഓടാം.	conversation	Female	30-40
DkmAczRJteidDovLZA7T	audio/d46e68a5-300a-4310-aa7e-188652e3ae06.wav	zDC7lg3hh6Oq38M3lp0D1y6OFmD2	5	മീശ വടിച്ചാൽ ഇനി വരുമോ ആവോ?	conversation	default	default
DlQa10aPgFaxsIxm6l95	audio/beee9afa-9271-4984-aef5-756ad958d625.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	പലതുള്ളിപ്പെരുവെള്ളം.	proverb	Female	30-40
DvA6Sc1XlUqMjBAwSmVv	audio/fd1cc3c8-3549-4bd4-912b-3a216a8053f7.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	5	ഐകമത്യം മഹാബലം.	default	default	default
E40f0MqHi12sERtSrT5b	audio/1e5969f9-1342-46d8-9087-c4c3fe278185.wav	MYf90clR8ehYYBOp1NAncn85tuH3	5	ഉറങ്ങിക്കൊണ്ടിരുന്ന സിംഹത്തിന്റെ ദേഹത്തേക്ക് എന്തോ ഒരു സാധനം വീണതായി തോന്നി അവന്‍ ഉറക്കം ഉണർന്നു	story	default	default
E53PjdKx5O0FC8mb1Udf	audio/9a52ac92-466b-4876-a0f8-e6d8b48360cb.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	മിണ്ടാപ്പൂച്ച കലമുടക്കും.	proverb	Female	30-40
EdqhWAqqtzAjG6uFLDWu	audio/5c59c9b0-affc-40a9-906f-0b6842f87725.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	5	മുളയിലറിയാം വിള.	proverb	default	default
Eh18h2gYFR7V65f5iGJf	audio/434a16c6-f786-405e-83f2-74c602e560b6.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	കാട്ടിലെ തടി തേവരുടെ ആന വലിയെടാ വലി.	proverb	Male	30-40
EnyX8KM4mqvbLzoP43NS	audio/07c72e26-0dba-4a7d-b90e-e3143592e3d2.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	കുറച്ച് കൂടി കഴിയ്ക്കൂ.	conversation	Male	30-40
EtTa4QuY1yv3XkJuyNNa	audio/de3916e5-5890-4c2f-a9b8-df7950c63032.wav	Qj37QEH5LxS3PUFPbFpb8Q0zqFh1	5	സമ്പത്ത് കാലത്ത് തൈപത്ത് വച്ചാൽ ആപത്ത് കാലത്ത് കാ പത്തു തിന്നാം.	proverb	default	default
EwnDu5ve0iOne6Vuks1W	audio/41059fd6-cdef-4bf1-a7a3-8c0691fa67d1.wav	SAehMkLkVwQ72DFMr4SqCklMPOX2	5	കുരുത്തക്കേടു് കുന്നിക്കുരുവോളം മതി.	proverb	default	default
ExGBFowKsgLvSEyEVpC2	audio/16cb8ec7-da9d-428a-ace0-0be202c96de6.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	5	അരിയെറിഞ്ഞാൽ ആയിരം കാക്ക	default	default	default
EyXJLpbasCtS47s4Gmcc	audio/2b769cd0-0a94-4a3e-887a-10b8ddf00950.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	ഞാന്‍ കുടിക്കുന്ന ഉറവയില്‍ നിന്നാണ് നീ കുടിക്കുന്നത് എന്നായി ചെന്നായയുടെ അടുത്ത ആരോപണം	story	Male	30-40
NDIQwxEpxuGVFqite44j	audio/c2bd4071-4f6c-4216-82bf-6b5e3dedc53b.wav	yBBnFr5oSyNqtcbNDiTQYAGT21J3	5	ഐകമത്യം മഹാബലം.	default	default	default
NNNiHgsmD6s0pBfJKOTO	audio/c90ced17-002b-471f-99b5-6046abb04db6.wav	MYf90clR8ehYYBOp1NAncn85tuH3	5	മണ്ണു വിറ്റു പൊന്നു വാങ്ങരുതു്‌.	proverb	default	default
NTBzCE7a4WzxrwKvDY2m	audio/ca26f08a-f4aa-4b9d-a40a-6b5c58216c3e.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	ആവശ്യത്തിന് മരുന്ന് കയ്യിലുണ്ടോ?	conversation	Female	30-40
Olmlyd8CKWpJTRHIay4v	audio/25d41015-96b8-44f0-938c-2c02b6eeda98.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	അസുഖം വന്നാൽ ആശുപത്രിയിൽ പോകണം.	conversation	Female	30-40
Ouj4BYeSMeOq0EUW9WRA	audio/a76be0ed-6227-4c98-b54e-c09f44f35a54.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	5	ഇന്റർസിറ്റി ഇന്ന് ലേറ്റ് ആണോ?	conversation	Male	30-40
OvPwxjAxf3PzpvtWjyMZ	audio/d382b555-3ebb-4363-8f82-5aaa6a965e6f.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	5	വലയില്‍ കിടന്നു പ്രാണഭയത്താല്‍ അലറിയ സിംഹത്തിന്റെ കരച്ചില്‍ അടുത്തുള്ള എലി കേൾക്കാനിടയായി	story	Male	30-40
P0MHEcclicoKQ6TXfcC2	audio/d05dc7da-a871-48d0-a49c-c132ca4499df.wav	4g8oHH1MgvOvECpoSKbWWrRpWT82	5	കലത്തിനറിയാമോ കർപ്പൂരത്തിന്റെ ഗന്ധം?	proverb	Male	20-30
RHxEqmXYHjKDjazYOC3s	audio/a3d19fb7-3e52-40f0-8836-a3456bf72c8a.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	5	ചെന്നായും ആട്ടിടയരും	story	Male	30-40
RT0K4etLD1W0ssS35dMF	audio/0122c368-4668-4d55-8eaa-cb162f212ea2.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	5	വന്ന കാലിൽ നിൽക്കാതെ.	conversation	Male	30-40
RWleBtnaSbq4uMEFeKmk	audio/091a96a6-739f-4e53-b0b4-b6800a1c49b7.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	5	ഭക്ഷണം കഴിച്ചിട്ടേ പോകാവൂ.	conversation	Male	30-40
SJy9kMRgoDxZCsWdUdbn	audio/1142f1b3-fd6f-488d-8fda-85baaddc51f1.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	5	വേണമെങ്കിൽ ചക്ക വേരിലും കായ്ക്കും.	proverb	default	default
aEHa65phDYNTopxpMywL	audio/17a022a2-77bc-470a-ab7c-ef6ed8b717a4.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	5	ഒരു കോഴിയും കുറെ തസ്ക്കരന്മാരും	story	Female	30-40
aTu41FHNM6BgZjHHFAXQ	audio/1ef6bb69-08b4-4081-b631-d144dfc794e6.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	വേണ്ട, വേണ്ടാത്തോണ്ടാ.	conversation	Male	30-40
aUaJbJN0uwDhVpehwrUn	audio/45637cd6-1bf5-484c-a31e-9fc9c76ffb5e.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	കുമ്പളങ്ങ എങ്ങനെ വെളുത്തു?	conversation	Male	30-40
aYDZMqBOYYioGnguDPBv	audio/d704081f-15c2-439e-a240-4572ac649750.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	5	അധികം താമസിയാതെ വിശന്നു ചാവുകയും ചെയ്തു	story	Male	30-40
apsYFHxVUXyOFxGqKsPW	audio/de1d4f5e-ca41-459e-965e-c6f69d3cfa55.wav	Li6cyWawv0TavTANle4yTmzCDty2	5	ബുദ്ധിയാണ് സാറേ അവന്റെ മെയിൻ.	conversation	Female	50-60
b13isXxvtf1u4Sp2LQMK	audio/74b96811-a9eb-483f-8159-6334295ef40f.wav	2N3Ywed7TuTc5eIWD58BinJ8aUq2	5	പാറമടയിൽ കുളിക്കാൻ വരുന്നോ?	conversation	default	default
